69, 304, 76, 739, -95, 466, -162, 228, -177, 18, 245, 465, 301, 210, 309, 1, -9, -7, -26, -370, -38, -651, 145, -8, 176, -377, 172, -652, 69, 605, 
69, 303, 76, 738, -96, 467, -161, 227, -173, 19, 245, 465, 301, 210, 307, 2, -9, -7, -26, -369, -39, -651, 144, -8, 176, -377, 172, -651, 69, 605, 
68, 303, 76, 738, -96, 466, -160, 224, -168, 16, 244, 466, 300, 210, 307, 2, -10, -8, -27, -369, -39, -650, 144, -9, 176, -378, 171, -650, 67, 604, 
66, 301, 72, 737, -99, 466, -161, 222, -166, 14, 242, 465, 300, 210, 310, 1, -11, -11, -29, -370, -42, -651, 143, -12, 174, -382, 169, -652, 64, 603, 
65, 301, 71, 737, -99, 465, -161, 221, -166, 13, 241, 464, 299, 209, 307, 1, -11, -12, -29, -370, -41, -651, 142, -13, 174, -382, 169, -652, 64, 603, 
65, 301, 71, 737, -100, 465, -162, 221, -166, 13, 241, 464, 299, 209, 307, 1, -11, -12, -29, -371, -39, -653, 142, -13, 174, -380, 168, -652, 64, 603, 
65, 300, 75, 736, -98, 465, -161, 221, -166, 13, 241, 463, 298, 207, 309, -1, -11, -13, -29, -371, -39, -652, 141, -14, 173, -379, 168, -650, 65, 602, 
65, 300, 75, 736, -98, 465, -161, 221, -166, 13, 242, 462, 299, 207, 309, 0, -11, -13, -29, -371, -39, -651, 141, -14, 173, -380, 168, -651, 65, 602, 
66, 299, 76, 736, -98, 465, -160, 221, -166, 13, 242, 462, 299, 207, 310, 0, -11, -13, -29, -371, -39, -651, 141, -14, 174, -380, 168, -650, 65, 602, 
67, 299, 77, 736, -96, 464, -157, 220, -163, 11, 244, 463, 302, 208, 312, 0, -10, -13, -28, -372, -39, -651, 143, -14, 175, -376, 169, -649, 67, 602, 
67, 299, 77, 736, -96, 464, -157, 220, -163, 11, 244, 463, 302, 208, 312, 0, -10, -13, -28, -372, -39, -651, 143, -14, 175, -377, 169, -649, 67, 602, 
67, 299, 77, 736, -96, 464, -157, 220, -163, 11, 244, 463, 302, 208, 312, 0, -10, -13, -28, -372, -39, -651, 143, -14, 175, -377, 169, -649, 67, 602, 
67, 299, 76, 735, -96, 463, -157, 219, -163, 10, 243, 463, 302, 209, 312, 0, -9, -14, -27, -371, -39, -652, 143, -14, 174, -376, 169, -648, 66, 601, 
67, 299, 77, 736, -96, 463, -157, 219, -163, 10, 243, 463, 302, 209, 312, 0, -9, -14, -27, -371, -39, -651, 143, -14, 174, -376, 169, -648, 66, 601, 
67, 299, 78, 736, -95, 464, -156, 219, -163, 10, 245, 462, 303, 208, 312, 0, -9, -14, -27, -372, -39, -651, 143, -14, 174, -377, 169, -648, 67, 601, 
69, 298, 81, 736, -93, 464, -154, 220, -161, 11, 247, 462, 305, 207, 313, -1, -8, -14, -27, -372, -38, -651, 144, -14, 175, -377, 170, -648, 69, 601, 
69, 298, 80, 736, -93, 464, -154, 220, -161, 10, 246, 462, 305, 207, 313, -1, -8, -14, -27, -372, -38, -651, 144, -14, 175, -377, 170, -649, 69, 601, 
69, 298, 79, 735, -94, 463, -155, 219, -160, 10, 246, 463, 305, 208, 313, 0, -8, -14, -27, -372, -38, -651, 144, -14, 175, -378, 170, -648, 69, 601, 
68, 298, 75, 735, -96, 463, -155, 218, -160, 8, 245, 464, 304, 209, 314, 0, -8, -14, -28, -369, -39, -652, 144, -14, 175, -378, 170, -649, 67, 601, 
68, 298, 75, 735, -96, 463, -155, 218, -161, 8, 245, 464, 304, 209, 314, 0, -8, -14, -28, -369, -40, -652, 144, -14, 175, -378, 170, -649, 67, 601, 
68, 298, 75, 735, -96, 463, -155, 218, -161, 8, 244, 464, 304, 209, 314, 0, -8, -14, -29, -368, -40, -651, 144, -14, 175, -379, 170, -649, 67, 600, 
66, 298, 73, 735, -97, 463, -157, 215, -163, 5, 243, 463, 302, 208, 311, 0, -10, -14, -29, -368, -40, -650, 142, -15, 173, -376, 169, -647, 65, 601, 
66, 298, 73, 735, -97, 463, -157, 215, -163, 5, 243, 463, 302, 208, 311, -1, -10, -14, -29, -368, -40, -650, 142, -15, 173, -377, 169, -647, 65, 601, 
66, 298, 74, 735, -97, 463, -156, 216, -163, 6, 243, 463, 303, 208, 311, -1, -10, -14, -28, -368, -40, -650, 142, -15, 173, -376, 169, -647, 65, 601, 
64, 301, 74, 740, -101, 483, -41, 292, 6, 355, 214, 459, 288, 246, 272, 400, -6, -17, -32, -367, -39, -651, 143, -19, 169, -373, 170, -648, 59, 607, 
62, 302, 63, 741, -109, 487, -214, 297, -131, 443, 220, 465, 293, 326, 182, 458, -11, -14, -32, -366, -39, -652, 139, -15, 169, -374, 170, -648, 57, 608, 
45, 308, 50, 749, -124, 432, -285, 301, -192, 451, 227, 485, 229, 288, 138, 419, -19, -15, -34, -357, -40, -651, 137, -10, 167, -368, 170, -648, 26, 616, 
60, 303, 74, 738, -145, 450, -355, 448, -223, 611, 241, 467, 293, 239, 271, 36, -13, -10, -32, -360, -40, -650, 137, -7, 171, -369, 170, -650, 57, 603, 
61, 303, 76, 738, -143, 449, -347, 395, -286, 588, 242, 467, 295, 239, 277, 37, -11, -10, -32, -360, -39, -648, 139, -7, 171, -370, 171, -650, 58, 604, 
64, 304, 78, 739, -139, 452, -347, 409, -197, 559, 245, 467, 298, 237, 281, 34, -10, -8, -31, -360, -39, -648, 141, -5, 172, -371, 172, -650, 62, 605, 
126, 306, 126, 743, -28, 457, -108, 383, 164, 349, 321, 461, 378, 411, 176, 480, 29, -5, 16, -382, 10, -666, 193, -10, 193, -378, 177, -664, 136, 610, 
118, 304, 125, 743, -34, 457, -93, 520, 130, 412, 274, 503, 185, 351, 6, 462, 29, -19, 14, -386, 13, -669, 192, -16, 187, -387, 180, -667, 118, 615, 
